league,season,team,player,nation_,pos_,age_,born_,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,90s_,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,xg_under,np_xg_under,xa_under,xg_chain_under,xg_buildup_under,shots_under,key_passes_under,goals_under,np_goals_under,assists_under,minutes_under,accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,appearances,assists,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goals,goalsAssistsSum,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,matchesStarted,minutesPlayed,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,rating,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards,player_y,team_y,player id,team id
ENG-Premier League,2526,Arsenal,Ben White,ENG,DF,28-203,1997,10,7,593,6.6,0,1,1,0,0,0,0,0,0,0.15,0.15,0,0.15,6.6,0,5,1,20,0.76,0.15,0,0,0,0,0,5,6,2,15,6,9,,,0,0.2829237170517444,0.2829237170517444,1.1656691394746304,3.319087613373995,2.413423489779234,5,7,0,0,1,589,7,3,20,99,10,37.04,141,91,232,81.4,12,46.15,14,10,1,0,0,0,23,2,0,1,3,25,10,0,0,1,7,28,0,0,0.53,0.46,5,0,0,0,0,1,6,5,1,0,0,,24,63.16,0,0,0,53,6,7,0,7,602,2,3,0,0,0,0,0,0,0,0,0,84,3,0,6.84,0,0,0,0,0,0,0,0,0,0,0,3,2,3,1,3,75,0,15,9,60,7,17,4,15,36,56.25,27,185,100,285,68.4,5,0,456,6,0,0,Ben White,Arsenal,846036,42
ENG-Premier League,2526,Arsenal,Bukayo Saka,ENG,"FW,MF",24-236,2001,28,22,2008,22.3,6,3,9,5,1,1,1,0,0.27,0.13,0.4,0.22,0.36,22.3,6,64,26,40.6,2.87,1.17,0.08,0.19,1,1,0,29,51,14,113,15,15,,,0,8.306461264379323,7.545292427,6.426807787269354,18.14281828701496,7.455635525286198,64,54,6,5,3,2016,15,36,31.86,302,14,36.84,423,105,528,76.74,22,44.9,27,28,3,0,0,0,105,9,8,23,7,10,28,0,0,30,15,142,0,1,5.77,7.02,29,0,9.38,0,6,9,16,11,5,6,0,,136,54.18,1,0,1,160,15,55,3,22,2010,14,0,0,2,1,0,100,0,1,0,0,366,25,0,7.19,0,2,0,0,0,0,0,0,335,0,2,48,16,15,26,49,53.26,0,36,17,47.22,53,36,92,113,158,52.67,38,562,126,688,201.2,64,4,1246,51,1,0,Bukayo Saka,Arsenal,934235,42
ENG-Premier League,2526,Arsenal,Christian Nørgaard,DEN,MF,32-050,1994,6,0,61,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,1,1,100,1.48,1.48,0,0,0,0,0,1,0,0,0,0,0,,,0,0.048741747,0.048741747,0,0.5345648117363453,0.4858230650424957,1,0,0,0,0,44,2,0,0,0,0,0,3,16,19,82.61,2,50,2,6,0,0,0,0,4,0,0,0,0,6,5,0,0,1,2,6,0,0,0,0.05,1,0,0,0,0,0,1,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,63,0,1,0,0,0,0,0,0,0,0,0,8,1,0,6.6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,0,0,2,25,1,6,17,23,33,1,0,41,0,0,0,Christian Nørgaard,Arsenal,135256,42
ENG-Premier League,2526,Arsenal,Cristhian Mosquera,ESP,DF,21-306,2004,16,7,761,8.5,0,0,0,0,0,0,3,0,0,0,0,0,0,8.5,0,1,0,0,0.12,0,0,,0,0,0,12,4,1,1,8,19,,,0,0.085854106,0.085854106,0.1646239385008812,3.5785193368792534,3.488348200917244,1,3,0,0,0,752,10,0,0,71,8,42.11,167,267,434,91.37,13,39.39,20,16,0,0,0,0,27,0,0,0,1,36,14,0,0,1,4,38,0,1,0.51,0.1,12,0,0,2,0,0,7,6,1,0,0,,30,62.5,0,0,0,41,8,3,0,7,766,1,6,0,0,0,0,0,0,0,0,0,57,0,0,6.9,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,26,17,65.38,3,17,1,1,43,53.09,19,186,289,475,96.6,1,0,601,4,3,0,Cristhian Mosquera,Arsenal,1144630,42
ENG-Premier League,2526,Arsenal,David Raya,ESP,GK,30-226,1995,34,34,3060,34,0,0,0,0,0,0,1,0,0,0,0,0,0,34,0,0,0,,0,0,,,0,0,0,0,12,0,1,1,1,,,0,0,0,0.1493939720094204,6.163206834346056,6.072215612977743,0,3,0,0,0,3060,49,0,0,80,183,34.72,150,519,669,65.59,8,88.89,1,34,0,0,0,0,291,0,0,0,16,33,34,1,0,0,0,1,1,3,0.11,,0,0,0,116,0,0,26,20,6,0,0,-1.98,14,100,0,33,0,351,1,3,0,34,3060,0,0,0,0,0,0,0,0,0,0,0,360,0,8,6.89,0,0,31,41,14,56,0,10,0,0,0,0,0,0,0,1,100,31,1,1,100,3,77,1,0,22,95.65,527,463,557,1020,234.2,0,2,1346,12,1,0,David Raya,Arsenal,581310,42
ENG-Premier League,2526,Arsenal,Declan Rice,ENG,MF,27-105,1999,33,32,2851,31.7,4,5,9,4,0,0,3,0,0.13,0.16,0.28,0.13,0.28,31.7,4,40,13,32.5,1.26,0.41,0.1,0.31,0,0,0,24,8,1,162,29,31,,,0,3.720960887148976,3.720960887148976,7.835065529,17.065285302698612,11.531245985999703,40,61,4,4,5,2863,61,45,27.61,487,77,48.13,952,741,1693,87.45,46,65.71,24,33,5,0,0,0,164,16,3,13,11,68,33,0,0,16,13,91,1,0,6.49,3.17,24,0,10,0,4,9,25,19,6,3,1,,85,55.92,1,0,0,243,33,62,0,32,2855,1,11,0,1,0,0,0,0,0,0,0,453,12,0,7.44,0,3,0,0,0,0,0,0,713.75,0,5,13,27,14,13,14,50,0,63,33,52.38,61,114,28,163,131,59.01,160,1132,804,1936,245.5,40,3,2517,8,3,0,Declan Rice,Arsenal,856714,42
ENG-Premier League,2526,Arsenal,Eberechi Eze,ENG,"MF,FW",27-304,1998,28,18,1581,17.6,7,2,9,7,0,0,1,0,0.4,0.11,0.51,0.4,0.51,17.6,7,47,15,31.9,2.68,0.85,0.15,0.47,0,0,0,14,32,1,8,10,12,,,0,4.018373498693109,4.018373498693109,2.570621009916067,9.424331817775965,3.777543930336833,53,15,7,7,2,1689,12,2,16.67,198,13,38.24,321,149,470,83.19,9,29.03,22,29,2,0,0,0,69,4,1,19,2,10,29,0,0,19,5,80,0,1,2.51,4,16,0,13.21,0,7,9,13,10,3,6,1,,77,57.04,0,0,1,95,10,14,1,19,1667,1,1,0,0,0,0,0,0,0,0,0,171,16,0,6.98,0,6,0,0,0,0,0,0,238.14,0,0,30,23,17,17,25,55.56,0,18,13,72.22,14,30,45,12,86,51.81,34,397,168,565,202.3,53,2,830,34,1,0,Eberechi Eze,Arsenal,864921,42
ENG-Premier League,2526,Arsenal,Ethan Nwaneri,ENG,MF,19-039,2007,6,0,171,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0,6,0,0,3.16,0,0,,0,0,0,2,0,0,2,0,0,,,0,1.2153942352160811,1.2153942352160811,1.0283479131758213,3.994624054059386,2.821246454492212,15,6,2,2,1,488,3,0,0,26,5,55.56,42,37,79,90.8,1,25,3,6,0,0,0,0,10,0,0,2,0,1,5,0,0,2,3,14,0,0,0.08,0.23,2,0,0,0,0,0,0,0,0,0,0,,4,26.67,0,0,0,8,0,1,0,0,175,0,0,0,0,0,0,0,0,0,0,0,20,2,0,6.74,0,0,0,0,0,0,0,0,0,0,0,4,2,4,0,3,37.5,0,1,0,0,1,5,8,2,5,26.32,9,48,39,87,33.7,6,0,121,0,0,0,Ethan Nwaneri,Arsenal,1401702,42
ENG-Premier League,2526,Arsenal,Gabriel Jesus,BRA,FW,29-026,1997,12,2,328,3.6,2,0,2,2,0,0,2,0,0.55,0,0.55,0.55,0.55,3.6,2,15,10,66.7,4.12,2.74,0.13,0.2,0,0,0,6,1,5,0,1,0,,,0,2.7162354178726678,2.7162354178726678,0.1697429865598678,2.419550765305757,0.6240958645939827,15,2,2,2,0,295,4,0,0,32,0,0,54,15,69,75.82,7,30.43,16,12,0,0,0,0,18,0,3,3,0,3,12,0,0,9,1,40,0,0,0.25,1.81,6,0,13.33,0,2,2,6,4,2,1,1,,12,33.33,0,0,0,22,2,2,0,2,320,5,0,0,0,0,0,0,0,0,0,0,59,3,0,6.54,0,2,0,0,0,0,0,0,160,0,0,13,2,2,10,7,46.67,0,4,0,0,2,7,15,0,19,32.2,1,69,22,91,78.5,15,0,182,1,2,0,Gabriel Jesus,Arsenal,794839,42
ENG-Premier League,2526,Arsenal,Gabriel Magalhães,BRA,DF,28-131,1997,28,27,2436,27.1,3,4,7,3,0,0,4,0,0.11,0.15,0.26,0.11,0.26,27.1,3,21,5,23.8,0.78,0.18,0.14,0.6,0,0,0,18,29,0,6,19,19,,,0,,,,,,,,,,,,37,1,20,187,68,44.44,535,816,1351,88.07,92,63.45,53,28,4,0,0,0,56,5,3,9,14,162,28,0,0,4,6,80,1,2,1.75,1.98,18,0,14.29,44,3,7,19,14,5,3,0,,65,70.65,1,0,2,183,20,7,2,27,2436,0,31,0,0,0,0,0,0,0,0,0,209,2,0,7.31,0,0,0,0,0,0,0,0,812,0,0,17,4,7,5,1,50,0,35,19,54.29,7,87,2,5,157,66.24,153,661,873,1534,204.8,21,5,1906,29,4,0,Gabriel Magalhães,Arsenal,869792,42
