Rk,Player,Age,Comp,MP,Gls,Ast,Pass%,KeyPass_90,Interception_90,Tackle_90,Recovery_90,Blk_90,Ground_duel_90,Aerial_90,Touches_p90,Possesion_lost_90,Succ_Drib_90,ProC_90,Total_duel_90,accurate_passes_90,pass_into_finalthird_90 
0,Casemiro,34,EPL,2332,8,2,81,1,0.8,2.4,4.1,0.8,52,49,61.4,10.9,0.2,4.77,5.5,38.0,14.97
1,Elliot Anderson,23,EPL,3044,3,2,85,1.4,1.1,2.8,8.3,0.4,53,59,88.4,17.9,1.3,8.01,8.1,54.3,20.4
2,Carlos Baleba,22,EPL,1408,0,0,86,0.2,0.9,1.1,3,0.1,47,53,31.2,5.1,0.4,4.91,2.7,19.3,8.01		
3,Adam Wharton,22,EPL,2290,0,5,79,1.2,0.9,2.1,4.8,0.1,51,46,51.6,12.3,0.5,5.07,4.3,29.4,13.91
4,Angelo Stiller,25,Bundesliga,2480,2,5,88,1.6,0.8,1.4,4.7,0.2,64,40,84.1,12.6,0.5,6.58,3.9,61.8,23.61
5,Éderson,26,Serie A,1965,1,0,92,0.9,0.9,1.9,4.4,0.3,56,42,57.7,7.7,0.5,5.95,4.4,40.0,15.53
6,Richard Ríos,25,Liga Portugal,2099,3,4,86,0.9,0.6,1.8,3.8,0.2,55,51,60.4,10.3,0.9,N/A,6.4,37.4,N/A
7,Sandro Tonali,25,EPL,2310,0,2,84,0.9,0.9,1,4.2,0.2,55,48,58,11.4,0.6,6.31,3.1,37.5,17.88
8,André,24,EPL,2406,1,0,91,0.5,0.8,2.4,5.9,0.3,55,22,50.5,6.6,0.5,3.97,4.3,34.1,7.44
9,Aurélien Tchouaméni,26,La Liga,2314,1,0,91,0.3,1.2,2.1,4.4,0.4,65,75,68.9,6.2,0.1,6.22,5.2,52.7,17.15
10,Bruno Guimarães,28,EPL,2121,9,4,87,1.7,0.5,2.2,4.4,0.04,51,33,69.4,13.4,0.6,7.51,5.4,43.3,20.75
11,Manu Koné,24,Serie A,2302,2,2,91,0.9,0.6,.8,4.7,0.1,51,49,63.2,8.8,1.1,6.72,5.5,43.7,15.56
12,Mateus Fernandes,21,EPL,2664,3,3,88,1.0,0.9,2.8,5.0,0.3,56,52,57.8,9.1,0.8,7.49,5.5,37.2,12.57

